date,equity,cash,positions
2026-02-03,600.0,600.0,0
2026-02-04,600.0,600.0,0
2026-02-05,600.0,600.0,0
2026-02-06,600.0,600.0,0
2026-02-09,606.0879137640318,307.2,3
2026-02-10,603.436230375837,307.2,3
2026-02-11,603.0851174199227,307.2,3
2026-02-12,595.8524596498236,307.2,3
2026-02-13,591.9245266293345,591.9245266293345,0
2026-02-16,591.9245266293345,591.9245266293345,0
2026-02-17,591.9245266293345,591.9245266293345,0
2026-02-18,593.3580003023038,473.53962130346764,1
2026-02-19,593.5304403491772,473.53962130346764,1
2026-02-20,593.0490269451739,593.0490269451739,0
2026-02-23,587.3858318717585,379.5513772449113,2
2026-02-24,590.3122736295317,379.5513772449113,2
2026-02-25,591.5492380252736,303.64110179592905,3
2026-02-26,592.3048562662642,303.64110179592905,3
2026-02-27,588.2364889582323,588.2364889582323,0
2026-03-02,593.1089153439659,301.1770823466149,3
2026-03-03,594.1140039960351,301.1770823466149,3
2026-03-04,595.3077548803234,301.1770823466149,3
